0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	1
35	0
36	1
37	0
38	0
39	1
40	0
41	1
42	2
43	0
44	2
45	3
46	4
47	3
48	1
49	5
50	4
51	2
52	1
53	2
54	4
55	2
56	6
57	6
58	4
59	5
60	5
61	8
62	3
63	3
64	8
65	6
66	8
67	4
68	10
69	13
70	9
71	17
72	15
73	10
74	15
75	18
76	17
77	14
78	14
79	12
80	21
81	20
82	21
83	17
84	13
85	15
86	12
87	21
88	20
89	15
90	19
91	22
92	22
93	21
94	21
95	24
96	22
97	24
98	31
99	33
100	19
101	29
102	22
103	34
104	33
105	34
106	21
107	30
108	29
109	25
110	34
111	31
112	19
113	33
114	38
115	30
116	31
117	26
118	28
119	28
120	28
121	22
122	23
123	30
124	35
125	24
126	37
127	33
128	21
129	22
130	26
131	22
132	28
133	32
134	23
135	26
136	36
137	26
138	24
139	34
140	30
141	29
142	19
143	25
144	26
145	23
146	23
147	23
148	24
149	26
150	35
151	25
152	23
153	27
154	37
155	39
156	27
157	39
158	23
159	23
160	19
161	21
162	28
163	33
164	27
165	35
166	20
167	31
168	27
169	24
170	24
171	24
172	29
173	26
174	38
175	30
176	42
177	28
178	31
179	15
180	28
181	38
182	30
183	27
184	27
185	29
186	32
187	32
188	22
189	20
190	28
191	30
192	20
193	25
194	26
195	30
196	22
197	32
198	31
199	13
200	24
201	27
202	21
203	32
204	33
205	28
206	30
207	33
208	23
209	18
210	18
211	26
212	23
213	24
214	22
215	23
216	27
217	21
218	33
219	34
220	26
221	21
222	26
223	28
224	19
225	29
226	32
227	30
228	27
229	24
230	28
231	37
232	25
233	31
234	32
235	26
236	25
237	23
238	29
239	27
240	21
241	33
242	26
243	31
244	26
245	30
246	32
247	33
248	25
249	27
250	26
251	32
252	16
253	19
254	25
255	24
256	33
257	20
258	28
259	25
260	17
261	27
262	21
263	27
264	25
265	28
266	17
267	26
268	27
269	23
270	18
271	30
272	20
273	26
274	28
275	33
276	33
277	20
278	24
279	25
280	25
281	26
282	38
283	24
284	31
285	39
286	28
287	21
288	24
289	26
290	20
291	40
292	19
293	22
294	23
295	27
296	32
297	22
298	27
299	28
300	32
301	24
302	20
303	25
304	25
305	29
306	22
307	24
308	23
309	25
310	28
311	27
312	22
313	39
314	20
315	20
316	23
317	27
318	23
319	28
320	28
321	26
322	35
323	26
324	23
325	29
326	19
327	28
328	25
329	20
330	23
331	41
332	28
333	25
334	23
335	28
336	27
337	33
338	27
339	34
340	24
341	31
342	19
343	39
344	26
345	25
346	25
347	26
348	25
349	19
350	25
351	19
352	25
353	27
354	19
355	37
356	36
357	22
358	21
359	25
360	30
361	33
362	32
363	26
364	34
365	30
366	22
367	23
368	34
369	30
370	34
371	28
372	27
373	34
374	22
375	21
376	23
377	21
378	26
379	26
380	30
381	32
382	30
383	25
384	25
385	27
386	16
387	23
388	32
389	35
390	35
391	29
392	29
393	21
394	29
395	30
396	16
397	36
398	27
399	25
400	18
401	19
402	26
403	24
404	29
405	24
406	16
407	31
408	26
409	21
410	26
411	28
412	25
413	19
414	23
415	20
416	20
417	33
418	24
419	35
420	23
421	40
422	14
423	31
424	27
425	42
426	23
427	28
428	31
429	21
430	23
431	25
432	28
433	28
434	27
435	35
436	22
437	23
438	29
439	26
440	24
441	29
442	28
443	17
444	25
445	31
446	21
447	29
448	31
449	21
450	25
451	26
452	31
453	30
454	28
455	30
456	21
457	22
458	22
459	32
460	31
461	24
462	25
463	25
464	27
465	35
466	28
467	32
468	31
469	31
470	26
471	23
472	27
473	22
474	20
475	31
476	30
477	28
478	29
479	23
480	30
481	36
482	36
483	45
484	35
485	43
486	56
487	49
488	62
489	57
490	66
491	82
492	103
493	132
494	160
495	177
496	210
497	268
498	320
499	381
500	454
501	543
502	606
503	758
504	839
505	1107
506	1219
507	1431
508	1747
509	2026
510	2346
511	2844
512	3128
513	3552
514	4092
515	4694
516	5620
517	6384
518	7245
519	8241
520	9391
521	10382
522	11848
523	13434
524	14961
525	16423
526	18494
527	20231
